Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,225.0,231.38,223.86,230.74,230.74,765900
2019-04-02,229.53,234.55,227.01,232.36,232.36,441200
2019-04-03,235.22,237.87,233.63,233.78,233.78,607600
2019-04-04,233.39,238.54,232.84,236.02,236.02,337800
2019-04-05,236.53,237.54,234.63,237.46,237.46,296600
2019-04-08,236.68,239.08,235.45,238.92,238.92,311900
2019-04-09,237.44,237.85,233.65,234.54,234.54,495900
2019-04-10,234.27,237.31,231.4,237.27,237.27,316600
2019-04-11,238.37,241.47,236.38,238.43,238.43,301700
2019-04-12,242.69,246.9,239.0,243.74,243.74,488300
2019-04-15,243.3,244.68,239.04,240.11,240.11,299100
2019-04-16,241.01,246.51,239.9,246.2,246.2,567900
2019-04-17,246.94,247.61,242.55,245.72,245.72,420100
2019-04-18,245.15,245.59,240.47,243.14,243.14,482200
2019-04-22,242.47,244.23,240.97,242.67,242.67,304000
2019-04-23,242.2,250.02,240.62,249.75,249.75,472800
2019-04-24,249.52,250.26,246.23,248.88,248.88,571600
2019-04-25,248.28,251.39,241.09,247.36,247.36,454900
