Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,41.84,42.01,41.62,41.96,41.96,671100
2019-04-02,42.0,42.02,41.67,41.87,41.87,754200
2019-04-03,42.03,42.39,41.95,42.16,42.16,491100
2019-04-04,42.18,42.2,41.45,41.7,41.7,605600
2019-04-05,41.78,41.91,41.55,41.74,41.74,710800
2019-04-08,41.69,41.83,41.39,41.81,41.81,595900
2019-04-09,41.68,41.84,41.59,41.67,41.67,326800
2019-04-10,41.7,41.94,41.65,41.84,41.84,399100
2019-04-11,42.02,42.59,41.91,42.41,42.41,936300
2019-04-12,42.5,42.97,42.43,42.93,42.93,1127200
2019-04-15,43.05,43.35,43.0,43.06,43.06,729700
2019-04-16,43.21,43.28,43.01,43.15,43.15,539800
2019-04-17,43.21,43.32,42.81,42.95,42.95,555100
2019-04-18,42.9,43.4,42.9,43.3,43.3,695300
2019-04-22,43.3,43.53,43.03,43.45,43.45,546300
2019-04-23,43.53,43.91,43.44,43.75,43.75,1349100
2019-04-24,41.85,41.9,39.12,39.35,39.35,5065900
2019-04-25,39.36,39.57,38.77,39.11,39.11,3038000
