Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,18.13,18.16,17.85,17.92,17.92,8350000
2019-04-02,17.96,18.08,17.89,18.01,18.01,9343500
2019-04-03,18.13,18.31,17.99,18.06,18.06,9269200
2019-04-04,18.06,18.06,17.83,18.0,18.0,4134200
2019-04-05,18.04,18.29,18.01,18.27,18.27,5314900
2019-04-08,18.24,18.24,17.91,17.99,17.99,4111100
2019-04-09,17.94,18.11,17.93,18.11,18.11,4410800
2019-04-10,18.15,18.27,18.01,18.06,18.06,3554100
2019-04-11,18.04,18.12,17.96,18.08,18.08,2622500
2019-04-12,18.07,18.11,17.92,18.02,18.02,3333400
2019-04-15,18.06,18.12,17.96,18.09,18.09,3875500
2019-04-16,18.04,18.17,17.8,17.83,17.83,4353000
2019-04-17,17.88,17.9,17.62,17.7,17.7,3893500
2019-04-18,17.65,17.79,17.53,17.72,17.72,4256600
2019-04-22,17.67,17.79,17.61,17.69,17.69,3326200
2019-04-23,17.72,17.91,17.62,17.75,17.75,6153300
2019-04-24,17.77,17.86,17.66,17.73,17.73,5098600
2019-04-25,17.63,17.74,17.51,17.59,17.59,4836100
