Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,153.44,162.42,153.41,162.09,162.09,688200
2019-04-02,161.61,163.5,159.59,162.27,162.27,465800
2019-04-03,164.09,170.32,164.09,166.56,166.56,569700
2019-04-04,166.15,169.71,166.15,167.6,167.6,523100
2019-04-05,168.86,170.0,165.89,167.03,167.03,328500
2019-04-08,167.28,169.6,165.42,168.96,168.96,477900
2019-04-09,167.6,168.46,164.05,164.66,164.66,361300
2019-04-10,165.03,166.93,164.13,166.57,166.57,320900
2019-04-11,164.86,167.5,164.7,166.32,166.32,334800
2019-04-12,168.0,169.12,166.68,168.92,168.92,444800
2019-04-15,168.64,170.32,167.31,169.23,169.23,355700
2019-04-16,170.37,172.13,169.5,172.03,172.03,339000
2019-04-17,173.56,174.61,170.47,173.76,173.76,453500
2019-04-18,173.26,175.81,172.11,175.48,175.48,281000
2019-04-22,179.51,182.17,174.0,176.55,176.55,491900
2019-04-23,177.17,179.86,176.46,178.69,178.69,436800
2019-04-24,178.66,181.86,177.74,181.63,181.63,545800
2019-04-25,180.7,180.7,173.36,173.69,173.69,707900
