Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,32.82,33.85,32.8,33.75,33.75,4949000
2019-04-02,33.74,34.33,33.5,34.01,34.01,4505300
2019-04-03,34.54,34.84,33.99,34.15,34.15,4978400
2019-04-04,34.02,34.99,34.02,34.7,34.7,4362700
2019-04-05,34.68,34.94,34.23,34.58,34.58,3839700
2019-04-08,34.42,34.86,34.35,34.67,34.67,2533000
2019-04-09,34.39,34.58,33.78,33.96,33.96,4010900
2019-04-10,34.13,34.28,33.58,34.11,34.11,5313400
2019-04-11,34.3,34.72,34.01,34.36,34.36,5809500
2019-04-12,35.04,35.36,34.21,35.06,35.06,4808900
2019-04-15,35.06,35.18,34.33,34.45,34.45,3685600
2019-04-16,34.58,34.92,33.88,34.9,34.9,5238700
2019-04-17,34.86,35.1,34.57,35.0,35.0,6190200
2019-04-18,35.19,35.89,34.93,35.36,35.36,7898300
2019-04-22,35.48,35.88,35.06,35.7,35.7,7448900
2019-04-23,35.57,36.21,35.41,36.1,36.1,5423900
2019-04-24,35.94,36.03,35.53,35.81,35.81,3669400
2019-04-25,35.56,36.03,35.29,35.72,35.72,2669800
